,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03
Anthony Cummins,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Anthony Hayward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Anthony Quinn,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Voce,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antoun Issa,0,0,0,0,2,2,0,2,0,0,0,0,2,2,2,2,2,0,2,2,2,2,2,0,0,2,0,2,2,0,0,0,2,2,0
Anya Ryan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archie Bland,1,0,0,0,2,4,2,2,0,0,0,2,2,2,5,4,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,4,2,1
Arifa Akbar,1,2,0,2,2,0,4,0,2,0,0,0,0,2,2,2,0,2,2,2,2,3,0,0,0,0,0,2,2,2,0,2,0,0,1
Artem Mazhulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,4,0,4,0,0,0
Arthur Neslen,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0
Arwa Mahdawi,0,0,2,0,0,0,0,0,2,2,0,0,2,2,0,2,2,0,0,2,2,0,2,2,0,0,2,2,0,0,2,0,0,2,1
Ashifa Kassam,2,9,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ashleigh Carr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Kirk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aubrey Allegretti,0,0,0,0,0,1,4,8,2,2,0,0,6,2,4,8,0,0,0,2,2,4,8,0,8,0,2,2,2,0,0,0,0,2,1
Audrey Gillan,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbara Blake-Hannah,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbara Ellen,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
Barney Norris,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barney Ronay,0,4,2,1,0,0,0,2,0,2,2,0,1,2,2,2,0,2,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0,1,0
Barry Glendenning,0,0,0,0,2,0,2,2,0,4,0,2,0,2,2,4,4,0,2,0,2,2,0,2,0,2,0,0,2,2,2,0,2,0,1
Barry Millington,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beatriz Ramalho da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Beau Dure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bec Kavanagh,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Beaumont-Thomas,1,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,2,2,0,0,0,0,1
Ben Bloom,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ben Child,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Ben Doherty,0,0,0,0,0,0,0,2,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,2,0,4,0,1
Ben East,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ben Eltham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Fisher,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,4,2,0,2,0,0,4,4,2,0,0,2,0,2,0,0,2,2,0,0
Ben Lynfield,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Quinn,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,2,0,0,2,0,0,0,2,4,0,0,0,0,0,2,1
